accession,genus,species,date,elevation,collector,latitude,longitude,,
V58316,Elymus,trachycaulus,1949 Aug 25,,Vernon C. Brink,,,,anthers
V61014,Calamagrostis,stricta,1945 Aug 11,,W.C. McCalla,,,,anthers
V61738,Bromus,ciliatus,1943 Aug 27,,W.C. McCalla,,,,anthers
V61723,Agrostis,stolonifera,1943 Aug 28,,W.C. McCalla,,,,anthers
V61720,Agrostis,stolonifera,1943 Aug 31,,W.C. McCalla,,,,anthers
V61761,Calamagrostis,purpurascens,1943 Sep 14,,W.C. McCalla,,,,anthers
V63562,Bromus,ciliatus,1947 Aug 17,,W.C. McCalla,,,,anthers
V62083,Bromus,carinatus,1950 Jul 18,,W.C. McCalla,,,,no anthers
V65320,Bromus,carinatus,1945 Jul 23,,W.C. McCalla,,,,no anthers
V64721,Bromus,ciliatus,1952 Jul 25,,W.C. McCalla,,,,anthers
V81418,Elymus,trachycaulus,1959,,Ron Buchanan,,,,anthers
V81336,Avena,fatua,1959 Aug 10,,Ron Buchanan,,,,anthers
V81324,Bromus,porteri,1959 Aug 13,,Ron Buchanan,,,,anthers
V81329,Elymus,trachycaulus,1959 Aug 14,,Ron Buchanan,,,,no anthers
V81441,Bromus,porteri,1959 Aug 17,,Ron Buchanan,,,,no anthers
V81328,Elymus,trachycaulus,1959 Aug 17,,Ron Buchanan,,,,no anthers
V81405,Elymus,lanceolatus,1959 Aug,,Ron Buchanan,,,,anthers
V81320,Elymus,trachycaulus,1959 Jul 28,,Ron Buchanan,,,,anthers
V81321,Calamagrostis,stricta,1959 Jul 29,,Ron Buchanan,,,,anthers
V81331,Bromus,porteri,1959 Jun,,Ron Buchanan,,,,no anthers
V82515,Bromus,ciliatus,1949 Aug 05,,W.W. Mair,,,,no anthers
V82411,Beckmannia,syzigachne,1949 Aug 08,,W.W. Mair,,,,anthers
V82394,Bromus,pumpellianus,1949 Jul 14,,W.W. Mair,,,,anthers
V82393,Bromus,pumpellianus,1949 Jul 25,,W.W. Mair,,,,anthers
V82593,Bromus,pumpellianus,1949 Jul 25,,W.W. Mair,,,,anthers
V82591,Calamagrostis,stricta,1949 Jul 25,,W.W. Mair,,,,anthers
V82594,Bromus,carinatus,1949 Jul 04,,W.W. Mair,,,,anthers
V82490,Elymus,trachycaulus,1949 Jun 27,,W.W. Mair,,,,no anthers
V82420,Bromus,inermis,1949 Jun 27,,W.W. Mair,,,,no anthers
V86915,Agrostis,stolonifera,1953 Jul 11,,M. Bryant,,,,no anthers
V75901,Bromus,inermis,1949 Jul 17,1058 m,Vladimir J. Krajina,,,,anthers
V105991,Aira,praecox,1953 Jun 09,,Vladimir J. Krajina,,,,anthers
V103198,Agrostis,stolonifera,1962 Jul 29,,William J. Merriles,,,,anthers
V100921,Beckmannia,syzigachne,1950 Jul 05,,W.H. Cottle,,,,anthers
V112460,Calamagrostis,stricta,1964 Aug 20,1234 m,Karl Ricker,,,,no anthers
V135889,Calamagrostis,stricta,1964 Aug 20,1234 m,Karl Ricker,,,,no anthers
V113550,Bouteloua,curtipendula,1947 Jun 28,,Vernon C. Brink,,,,anthers
V113463,Aira,praecox,1944 Sep 10,,Vernon C. Brink,,,,no anthers
V139271,Beckmannia,syzigachne,1968 Aug 27,,Jim Pojar,,,,anthers
V18113,Agropyron,desertorum,1970 Aug 03,,Jim Pojar,,,,anthers
V139234,Calamagrostis,canadensis,1969 Aug 07,,Jim Pojar,,,,anthers
V139205,Calamagrostis,canadensis,1969 Jul 24,,Jim Pojar,,,,anthers
V139287,Elymus,repens,1969 Jul 24,,Jim Pojar,,,,anthers
V139206,Calamagrostis,canadensis,1969 Jul 29,,Jim Pojar,,,,no anthers
V139299,Andropogon,gerardii,1969 Jul 29,,Jim Pojar,,,,anthers
V139233,Calamagrostis,stricta,1969 Jul 29,,Jim Pojar,,,,anthers
V139248,Beckmannia,syzigachne,1969 Jul 29,,Jim Pojar,,,,anthers
V139286,Elymus,trachycaulus,1969 Jul 29,,Jim Pojar,,,,anthers
V139293,Avena,fatua,1969 Jul 30,,Jim Pojar,,,,no anthers
V139288,Agropyron,desertorum,1969 Jul 06,,Jim Pojar,,,,anthers
V210349,Arthraxon,hispidus,1992 Sep 14,250 m,K. Yao,,,,no anthers
V129132,Arthraxon,hispidus,1967 Sep 30,,R. Dale Thomas,,,,anthers
V43890,Briza,minor,1971 Apr 11,,Jack R. Maze,,,,anthers
V191641,Elymus,trachycaulus,1973 Aug 19,,,,,,no anthers
V191829,Briza,minor,1985? May,,Vernon C. Brink,,,,anthers
V82650,Beckmannia,syzigachne,1958 Aug 23,,A.M. Pearson,,,,anthers
V135888,Calamagrostis,canadensis,1964 Aug 20,,Karl Ricker,,,,no anthers
V135887,Calamagrostis,canadensis,1964 Aug 20,,Karl Ricker,,,,no anthers
V92245,Agrostis,scabra,1958 Jul 23,1341 m,Katherine I. Beamish,,,,anthers
V148224,Ammophila,arenaria,1964 Jul 18,,James K. Lowther,,,,anthers
V167847,Bromus,pumpellianus,1978 Aug 11,,Fred Fodor,,,,anthers
V167834,Beckmannia,syzigachne,1978 Aug 12,,Fred Fodor,,,,anthers
V167833,Beckmannia,syzigachne,1978 Jul 19,,Fred Fodor,,,,anthers
V167835,Calamagrostis,canadensis,1978 Jul 27,,Fred Fodor,,,,anthers
V167829,Arctophila,fulva,1978 Jul 27,,Fred Fodor,,,,anthers
V167837,Calamagrostis,canadensis,1978 Jul 31,,Fred Fodor,,,,anthers
V167836,Arctagrostis,latifolia,1978 Jul 31,,Fred Fodor,,,,no anthers
V18254,Bromus,richardsonii,1938 Aug 14,,E.W. Tisdale,,,,no anthers
V61226,Bromus,hordeaceus,1944 Jun 27,,W.C. McCalla,,,,anthers
V113549,Bromus,inermis,1947 Jun 28,,Vernon C. Brink,,,,no anthers
V89364,Briza,minor,1958 May 26,381 m,L.E. Detling,,,,no anthers
V89263,Bromus,hordeaceus,1943 May 06,617 m,L.E. Detling,,,,anthers
V91593,Apera,interrupta,1956 Jun 11,975 m,Albert N. Steward,,,,anthers
V101277,Aira,praecox,1963 Apr 21,33 m,M. Benson,,,,anthers
V141183,Agrostis,gigantea,1967 Jul 20,,Charles E. Beil,,,,anthers
V17549,Agrostis,stolonifera,1913 Jun 16,,Dr. C.F. Newcombe,,,,anthers
V17751,Agrostis,gigantea,1892 Jul 07,,G. Fletcher,,,,anthers
V88403,Agrostis,gigantea,1958 Jul 04,,Marc Bell,,,,anthers
V113284,Agrostis,gigantea,1944 Jul 04,,Vernon C. Brink,,,,anthers
V72216,Agrostis,stolonifera,1950 Sep 20,,Vernon C. Brink,,,,anthers
V61495,Agrostis,gigantea,1944 Sep 08,,W.C. McCalla,,,,anthers
V179266,Arctagrostis,latifolia,1965 Aug 03,61-76 m,Vladimir J. Krajina,,,,no anthers
V93368,Calamagrostis,canadensis,1961 Jul 19,,Gilles Lemieux,,,,anthers
V123729,Elymus,repens,1961 Jul 30,,Gilles Lemieux,,,,anthers
V156194,Agropyron,desertorum,1976 Jul 22,,Robert H. Hainault,,,,anthers
V113664,Arctagrostis,latifolia,1964 Jul 21,100 m,G.R. Brassard,,,,anthers
V189354,Calamagrostis,stricta,1972 Aug 26,,Christopher J. Marchant,,,,anthers
V184075,Beckmannia,syzigachne,1972 Aug 26,,Roy L. Taylor,,,,anthers
V123433,Calamagrostis,canadensis,1967 Jul 14,,Claude Hamel,,,,no anthers
V122982,Brachyelytrum,aristosum,1966 Jul 20,,Viateur Blais,,,,no anthers
V75912,Bromus,pumpellianus,1949 Jul 17,1020 m,Vladimir J. Krajina,,,,no anthers
V17942,Aristida,californica,1902 Apr 29,,T.S. Brandegee,,,,anthers
V17955,Aristida,oligantha,1903 Jul 27,,E.B. Copeland,,,,no anthers
V17214,Bothriochloa,barbinodis,1903 Feb 15,,T.S. Brandegee,,,,anthers
V18130,Bromus,diandrus,1903 May 05,,T.S. Brandegee,,,,anthers
V114515,Bromus,ciliatus,1965 Aug 24,,Viateur Blais,,,,no anthers
V114528,Elymus,repens,1965 Jul 13,,Viateur Blais,,,,anthers
V114099,Bromus,ciliatus,1965 Jul 22,,Viateur Blais,,,,no anthers
V120146,Anthoxanthum,odoratum,1941 Apr 11,,Vernon C. Brink,,,,anthers
V120138,Avena,fatua,1943 Aug 24,,Vernon C. Brink,,,,no anthers
V148115,Beckmannia,syzigachne,1970 Aug 05,,Vernon C. Brink,,,,anthers
V18272,Calamagrostis,purpurascens,1970 Jul 16,,Vernon C. Brink,,,,anthers
V17503,Arctagrostis,latifolia,1970 Jul,,Vernon C. Brink,,,,anthers
V120140,Avena,fatua,1943 Jul 20,,Vernon C. Brink,,,,no anthers
V17528,Arctophila,fulva,1970 Jul 22,,Vernon C. Brink,,,,no anthers
V43268,Arctagrostis,latifolia,1970 Jul 22,,Vernon C. Brink,,,,anthers
V148112,Calamagrostis,canadensis,1970 Jul 23,,Vernon C. Brink,,,,anthers
V148116,Elymus,trachycaulus,1970 Jul 23,,Vernon C. Brink,,,,no anthers
V148079,Calamagrostis,purpurascens,1970 Jul 23,,Vernon C. Brink,,,,anthers
V132764,Arctagrostis,latifolia,1967 Aug 14,,Don Gill,,,,anthers
V132761,Arctophila,fulva,1967 Aug 16,,Don Gill,,,,no anthers
V132763,Arctagrostis,latifolia,1966 Aug 06,,Don Gill,,,,anthers
V132765,Arctagrostis,latifolia,1966 Aug 06,,Don Gill,,,,anthers
V132762,Arctagrostis,latifolia,1966 Jun 08,,Don Gill,,,,anthers
V105907,Apera,spica-venti,1953 Jul 02,,N. Vihodzevssky,,,,anthers
V61701,Elymus,trachycaulus,1943 Aug 20,,Ian McTaggart Cowan,,,,anthers
V62186,Bromus,hordeaceus,1950 Apr 12,,W.C. McCalla,,,,no anthers
V61711,Beckmannia,syzigachne,1943 Aug 13,,W.C. McCalla,,,,anthers
V61617,Beckmannia,syzigachne,1943 Aug 02,,W.C. McCalla,,,,anthers
V64252,Bromus,ciliatus,1953 Aug 25,,W.C. McCalla,,,,no anthers
V61721,Agrostis,stolonifera,1943 Aug 31,,W.C. McCalla,,,,no anthers
V61615,Calamagrostis,stricta,1943 Aug 04,,W.C. McCalla,,,,anthers
V61616,Agrostis,stolonifera,1943 Aug 04,,W.C. McCalla,,,,anthers
V61614,Elymus,trachycaulus,1943 Aug 04,,W.C. McCalla,,,,no anthers
V61607,Bromus,inermis,1943 Aug 06,,W.C. McCalla,,,,no anthers
V61608,Elymus,trachycaulus,1943 Aug 06,,W.C. McCalla,,,,anthers
V61768,Calamagrostis,stricta,1943 Sep 03,,W.C. McCalla,,,,anthers
V61704,Elymus,trachycaulus,1943 Aug 15,,W.W. Mair,,,,no anthers
V97479,Bromus,inermis,1961 Jul 21,,C.E. Garton,,,,no anthers
V97523,Elymus,repens,1961 Jul 14,,C.E. Garton,,,,anthers
V78342,Alopecurus,aequalis,1958 Jul 08,,A. Belzile,,,,anthers
V51575,Alopecurus,aequalis,1955 Jul 03,1219-1311 m,Arthur Cronquist,,,,anthers
V17828,Alopecurus,aequalis,1942 Jun 26,,Alan A. Beetle,,,,anthers
V17825,Alopecurus,aequalis,1941 Jun 28,,Alan A. Beetle,,,,anthers
V113697,Alopecurus,aequalis,1965 Jul 16,,A.E. Garwood,,,,anthers
V96648,Alopecurus,aequalis,1962 Jul 26,,Adam F. Szczawinski,,,,anthers
V17827,Alopecurus,geniculatus,1924 Jun 14,,A.H. Brinkman,,,,anthers
V94003,Alopecurus,pratensis,1960 Apr 27,91 m,Al Braswell,,,,no anthers
V37495,Alopecurus,aequalis,1895 Jun 17,,C. McLean Fraser,,,,anthers
V18242,Alopecurus,pratensis,1935,,C. Tice,,,,anthers
V40851,Alopecurus,aequalis,1952 Jul 21,,C.E. Garton,,,,anthers
V80252,Alopecurus,aequalis,1955 Sep 07,,E. Marrion,,,,anthers
V17846,Alopecurus,aequalis,1940 Jul 26,,E.H. Moss,,,,no anthers
V49477,Alopecurus,aequalis,1944 Jun 04,,G. Lamarre,,,,anthers
V93370,Alopecurus,aequalis,1961 Jul 15,,G. Lemieux,,,,anthers
V112314,Alopecurus,myosuroides,1964 May 24,,George Murray,,,,no anthers
V17848,Alopecurus,aequalis,1945 Jul 13,,G.H. Turner,,,,anthers
V51001,Alopecurus,geniculatus,1901 Aug 06,,J. Fowler,,,,anthers
V51025,Alopecurus,pratensis,1901 Jul 01,,J. Fowler,,,,anthers
V51003,Alopecurus,geniculatus,1900 Jul 05,,J. Fowler,,,,anthers
V91025,Alopecurus,aequalis,1955 May 12,69 m,J. Morris Johnson,,,,anthers
V122005,Alopecurus,myosuroides,1968 May 02,,J.F. Matthews,,,,anthers
V112312,Alopecurus,geniculatus,1951 Jun 21,,J.P. Tracy,,,,no anthers
V139207,Alopecurus,aequalis,1969 Aug 06,,Jim Pojar,,,,anthers
V17823,Alopecurus,aequalis,1945 Jul 15,,John W. Eastham,,,,no anthers
V121442,Alopecurus,aequalis,1966 Jun 23,,Lionel Cinq-Mars,,,,anthers
V40298,Alopecurus,geniculatus,1952 Jun 29,,M. Raymond,,,,anthers
V119114,Alopecurus,aequalis,1965 Aug 13,,Noel H. Holmgren,,,,anthers
V117104,Alopecurus,aequalis,1964 Aug 03,3353 m,Noel H. Holmgren,,,,anthers
V49476,Alopecurus,pratensis,1936 Jun 06,,P. Louis-Marie,,,,anthers
V49488,Alopecurus,aequalis,1929 Sep 02,,P. Louis-Marie,,,,anthers
V119416,Alopecurus,aequalis,1966 Aug 14,,R.T. Porsild,,,,anthers
V114408,Alopecurus,aequalis,1964 Jun 14,,Samuel Brisson,,,,anthers
V57415,Alopecurus,aequalis,1920 Sep 15,914 m,T. Mackenzie,,,,anthers
V52753,Alopecurus,geniculatus,1950 Jul 02,,Thomas C. Brayshaw,,,,anthers
V17440,Alopecurus,aequalis,1970 Aug 05,,Vernon C. Brink,,,,anthers
V61594,Alopecurus,geniculatus,1943 Aug 11,,W.C. McCalla,,,,anthers
V62363,Alopecurus,aequalis,1948 Jul 20,,W.C. McCalla,,,,anthers
V61656,Alopecurus,geniculatus,1945 Jul 07,,W.C. McCalla,,,,anthers
V146985,Alopecurus,aequalis,1958 Jul 08,,W. Krivda,,,,anthers
V100984,Alopecurus,aequalis,1959 Jul 23,,W.H. Cottle,,,,anthers
V102952,Bromus,ciliatus,1962 Aug 05,,William J. Merriles,,,,no anthers
V103061,Elymus,repens,1962 Jul 07,152 m,William J. Merriles,,,,anthers
V103089,Brachyelytrum,aristosum,1962 Jun 07,152 m,William J. Merriles,,,,no anthers
V103018,Bromus,inermis,1962 Jul 11,,William J. Merriles,,,,anthers
V28225,Aira,caryophyllea,1932 May 04,,Herbert L. Mason,,,,anthers
V97037,Glyceria,elata,1954 Jul 16,,,,,,no anthers
V19350,Festuca,rubra,1913 Jun 16,,Dr. C.F. Newcombe,,,,anthers
V143815,Holcus,lanatus,1973 Jun 26,,H.E. Ahles,,,,anthers
V78336,Glyceria,canadensis,1958 Aug 26,,A. Belzile,,,,anthers
V78334,Glyceria,striata,1958 Jul 23,,A. Belzile,,,,no anthers
V78330,Cinna,latifolia,1958 Aug 05,,A. Belzile,,,,anthers
V78335,Dactylis,glomerata,1958 May 27,,A. Belzile,,,,no anthers
V19668,Hordeum,jubatum,1944 Aug 24,,A. Campbell,,,,no anthers
V121435,Dactylis,glomerata,1966 Jun 29,,A. Laprise,,,,anthers
V19700,Hordeum,brachyantherum,1941 Apr 27,,Alan A. Beetle,,,,anthers
V18583,Cinna,latifolia,1945 Jul 16,2286 m,Alan A. Beetle,,,,no anthers
V18638,Dactylis,glomerata,1941 Jun 15,,Alan A. Beetle,,,,no anthers
V19639,Holcus,lanatus,1941 Jun 30,2000 ft,Alan A. Beetle,,,,anthers
V19523,Glyceria,elata,1945 Jul 16,7500 ft,Alan A. Beetle,,,,anthers
V218234,Phleum,alpinum,1913 Aug 01,,A. E. Baggs,,,,no anthers
V135492,Eragrostis,cilianensis,1966 Jul 23,,A.E. Radford,,,,anthers
V70853,Glyceria,striata,1942 Jul 22,,A.H. Brinkman,,,,anthers
V70891,Elymus,canadensis,1942 Aug 07,,A.H. Brinkman,,,,anthers
V71227,Cinna,latifolia,1954 Aug 17,2164 m,Albert N. Steward,,,,anthers
V78639,Glyceria,elata,1957 Jul 31,4200 ft,Albert N. Steward,,,,no anthers
V83083,Echinochloa,crus-galli,1953 Oct 06,,Albert N. Steward,,,,no anthers
V78447,Festuca,idahoensis,1954 May 30,1219 m,Albert N. Steward,,,,anthers
V71268,Festuca,idahoensis,1954 May 31,549 m,Albert N. Steward,,,,anthers
V28045,Eragrostis,pectinacea,1906 Sep 16,150 m,Agnes Chase,,,,no anthers
V18632,Dactylis,glomerata,1912 Jul 01,,Albert J. Hill,,,,anthers
V19654,Hordeum,jubatum,1910 Jul,,Albert J. Hill,,,,anthers
V20063,Phalaris,arundinacea,1878 May,,Albert J. Hill,,,,anthers
V19641,Holcus,lanatus,1940 Jun 16,,Anonymous,,,,anthers
V54278,Glyceria,striata,1946 Jun 22,,Brother Rolland-Germain,,,,anthers
V93270,Festuca,rubra,1961 Jun 10,,Camille Gervais,,,,anthers
V93367,Festuca,rubra,1961 Jun 23,,Camille Gervais,,,,anthers
V104118,Phalaris,arundinacea,1963 Jun 15,,C.L. Hitchcock,,,,anthers
V104095,Hordeum,jubatum,1963 Jun 15,,C.L. Hitchcock,,,,anthers
V104094,Hordeum,jubatum,1963 May 29,,C.L. Hitchcock,,,,no anthers
V37489,Echinochloa,crus-galli,1895 Aug 27,,C. McLean Fraser,,,,anthers
V115427,Glyceria,grandis,1964 Jul 02,,C. Rousseau,,,,anthers
V40968,Glyceria,striata,1952 Aug 01,,C.E. Garton,,,,anthers
V40967,Glyceria,striata,1952 Aug 15,,C.E. Garton,,,,no anthers
V97549,Elymus,canadensis,1961 Jul 17,,C.E. Garton,,,,anthers
V97548,Glyceria,grandis,1961 Jul 17,,C.E. Garton,,,,no anthers
V150302,Glyceria,striata,1886 Jun 20,,C.G. Lloyd,,,,anthers
V104101,Hordeum,brachyantherum,1963 Jul 11,,C.L. Hitchcock,,,,anthers
V104097,Festuca,rubra,1963 Jul 11,,C.L. Hitchcock,,,,anthers
V104098,Deschampsia,elongata,1963 Jul 25,,C.L. Hitchcock,,,,anthers
V112646,Glyceria,elata,1965 Jul 27,,C.L. Hitchcock,,,,no anthers
V104093,Elymus,elymoides,1963 Jun 17,,C.L. Hitchcock,,,,anthers
V104091,Elymus,elymoides,1963 Jun 17,,C.L. Hitchcock,,,,anthers
V116868,Festuca,rubra,1966 May 22,,C.L. Hitchcock,,,,no anthers
V123352,Glyceria,canadensis,1967 Jul 28,,Claude Hamel,,,,anthers
V123353,Glyceria,striata,1967 Jul 04,,Claude Hamel,,,,anthers
V178625,Festuca,rubra,1977 Jul 20,,D. Munro,,,,anthers
V178624,Festuca,rubra,1977 Jul 06,,D. Munro,,,,no anthers
V116822,Eragrostis,cilianensis,1966 Aug 18,,D. Sutherland,,,,anthers
V18794,Deschampsia,caespitosa,1938 Jun 25,1524-1829 m,D.P. Berghuis,,,,no anthers
V194809,Festuca,rubra,1983 Jun 26,,D.A. Sutherland,,,,anthers
V110551,Glyceria,borealis,1963 Jun 22,,La Rea J. Dennis,,,,no anthers
V80253,Hordeum,jubatum,1955 Sep 01,,E. Marrion,,,,anthers
V80253,Hordeum,jubatum,1955 Sep 01,,E. Marrion,,,,anthers
V195861,Glyceria,striata,1939 Jun 03,,E.E. Sherff,,,,anthers
V19557,Glyceria,striata,1936 Aug 29,,E.H. Moss,,,,no anthers
V19451,Glyceria,borealis,1926 Jul 13,,E.H. Moss,,,,no anthers
V18579,Cinna,latifolia,1939 Jul 13,,E.H. Moss,,,,anthers
V19473,Glyceria,grandis,1941 Jul 23,,E.H. Moss,,,,anthers
V18776,Deschampsia,caespitosa,1939 Jul 05,,E.H. Moss,,,,no anthers
V18949,Elymus,canadensis,1927 Sep 02,,E.H. Moss,,,,no anthers
V19228,Festuca,occidentalis,1905 Jul 10,,Eli Wilson,,,,anthers
V95481,Glyceria,elata,1959 Aug 22,3000ft,F. Chisaki,,,,no anthers
V93321,Elymus,canadensis,1961 Aug 27,,G. Lemeux,,,,anthers
V93220,Glyceria,grandis,1961 Aug 26,,G. Lemieux,,,,no anthers
V93319,Hierochloe,alpina,1961 Aug 19,3100 ft,G. Lemieux,,,,no anthers
V123711,Deschampsia,caespitosa,1960 Jul 06,,G. Lemieux,,,,anthers
V123710,Glyceria,grandis,1960 Jul 06,,G. Lemieux,,,,anthers
V110255,Glyceria,striata,1962 Aug 09,9000 ft,G. Neville-Jones,,,,anthers
V73136,Deschampsia,caespitosa,1954 Aug 08,762 m,G. Smith,,,,anthers
V73123,Festuca,rubra,1953 Jun 11,500 ft,G. Smith,,,,no anthers
V19471,Glyceria,grandis,1945 Aug 08,,G.H. Turner,,,,anthers
V19559,Glyceria,striata,1944 Jul 01,,G.H. Turner,,,,anthers
V20064,Phalaris,arundinacea,1945 Jul 18,,G.H. Turner,,,,anthers
V19472,Glyceria,grandis,1945 Jul 18,,G.H. Turner,,,,anthers
V19361,Festuca,rubra,1944 Jul 02,,G.H. Turner,,,,anthers
V19556,Glyceria,striata,1945 Jul 22,,G.H. Turner,,,,anthers
V19002,Elymus,glaucus,1946 Jul 23,,G.H. Turner,,,,anthers
V19459,Glyceria,borealis,1945 Jul 25,,G.H. Turner,,,,no anthers
V18585,Cinna,latifolia,1945 Jul 29,,G.H. Turner,,,,anthers
V18946,Elymus,canadensis,1945 Jul 29,,G.H. Turner,,,,anthers
V18777,Deschampsia,caespitosa,1940 Jul 04,,G.H. Turner,,,,anthers
V19302,Festuca,saximontana,1940 Jul 08,,G.H. Turner,,,,no anthers
V19319,Festuca,saximontana,1940 Jun 29,,G.H. Turner,,,,anthers
V18645,Dactylis,glomerata,1943 Sep 12,,G.H. Turner,,,,anthers
V100651,Festuca,idahoensis,1958 Jul 20,1433 m,Gene Payne,,,,no anthers
V191440,Holcus,lanatus,1974 Jun 07,,Georgia Mason,,,,anthers
V191450,Leersia,oryzoides,1974 Aug 12,,Georgia Mason,,,,no anthers
V39099,Holcus,lanatus,1943 Aug,200 ft,H.E. Parks,,,,anthers
V39097,Elymus,glaucus,1943 Jun,137 m,H.E. Parks,,,,anthers
V50539,Deschampsia,elongata,1940 Aug 06,2591 m,Herbert L. Mason,,,,anthers
V28137,Holcus,lanatus,1941 Jul 26,200 ft,H.S. Reed,,,,anthers
V143708,Eragrostis,cilianensis,1973 Aug 25,,Harry E. Ahles,,,,anthers
V143710,Eragrostis,minor,1973 Jul 13,,Harry E. Ahles,,,,anthers
V143787,Eragrostis,pectinacea,1973 Jul 17,,Harry E. Ahles,,,,anthers
V215636,Glyceria,striata,1967 Jul 19,,Harry E. Ahles,,,,anthers
V140338,Glyceria,canadensis,1972 Jul 19,,Harry E. Ahles,,,,anthers
V43927,Glyceria,grandis,1967 Jul 05,,Harry E. Ahles,,,,anthers
V143817,Dactylis,glomerata,1973 Jun 15,,Harry E. Ahles,,,,anthers
V148377,Glyceria,borealis,1974 Jun 16,,Harry E. Ahles,,,,anthers
V143730,Echinochloa,crus-galli,1973 Sep 01,,Harry E. Ahles,,,,anthers
V77540,Glyceria,borealis,1936 Aug 30,,Hubert H. Brown,,,,no anthers
V77515,Cinna,latifolia,1935 Aug 08,,Hubert H. Brown,,,,anthers
V77412,Glyceria,striata,1935 Jul 01,,Hubert H. Brown,,,,no anthers
V77658,Deschampsia,caespitosa,1936 Jul 12,,Hubert H. Brown,,,,anthers
V77666,Glyceria,borealis,1936 Jul 25,,Hubert H. Brown,,,,no anthers
V77677,Glyceria,grandis,1936 Jul 04,,Hubert H. Brown,,,,anthers
V77498,Dactylis,glomerata,1936 Jun 14,,Hubert H. Brown,,,,anthers
V77724,Echinochloa,crus-galli,1936 Sep 06,,Hubert H. Brown,,,,no anthers
V99198,Glyceria,borealis,1943 Aug 17,,Hugh M. Raup,,,,anthers
V99340,Deschampsia,caespitosa,1943 Aug 23,,Hugh M. Raup,,,,anthers
V89792,Hierochloe,alpina,1939 Jul 18,55 ft,Hugh M. Raup,,,,anthers
V19582,Hierochloe,alpina,1947 Jul 03,1300 ft,Ian McTaggart Cowan,,,,anthers
V120003,Glyceria,canadensis,1967 Jul 19,,Isabel L. Bayly,,,,anthers
V50982,Hordeum,jubatum,1900 Jul 19,,J. Fowler,,,,no anthers
V51015,Dactylis,glomerata,1898 Jun 14,,J. Fowler,,,,anthers
V50995,Leymus,mollis,1900 Jun 28,,J. Fowler,,,,anthers
V50994,Elymus,canadensis,1902 Sep 03,,J. Fowler,,,,anthers
V183052,Festuca,brachyphylla,1967 Jul 28,2438 m,Jake P. Luitjens,,,,anthers
V121456,Dactylis,glomerata,1961 Jun 14,,J. St. Pierre,,,,no anthers
V19550,Glyceria,striata,1940 Jun 21,,J.F. Brenckle,,,,anthers
V18929,Echinochloa,crus-galli,1941 Jun 28,,J.F. Brenckle,,,,anthers
V18642,Dactylis,glomerata,1940 May 27,,J.F. Brenckle,,,,anthers
V19640,Holcus,lanatus,1940 Jun 22,,J.F. Brenckle,,,,anthers
V77300,Glyceria,canadensis,1952 Jul 11,,J.M. Gillett,,,,anthers
V77299,Glyceria,grandis,1952 Jul 12,,J.M. Gillett,,,,anthers
V77301,Glyceria,striata,1952 Jun 20,,J.M. Gillett,,,,anthers
V19094,Eragrostis,cilianensis,1941 Jun 28,,J.P. Brenckle,,,,anthers
V18599,Cinna,latifolia,1900 Aug 18,,J.R. Anderson,,,,no anthers
V18789,Deschampsia,caespitosa,1898 Aug 09,,J.R. Anderson,,,,anthers
V123848,Cinna,latifolia,1966 Sep 10,,J.R. Bozeman,,,,anthers
V139244,Glyceria,borealis,1969 Aug 06,,Jim Pojar,,,,anthers
V139283,Hordeum,jubatum,1969 Jul 25,,Jim Pojar,,,,anthers
V118803,Hierochloe,alpina,1965 Jul 15,600 ft,John D.H. Lambert,,,,anthers
V118800,Festuca,brachyphylla,1965 Jul 18,206 m,John D.H. Lambert,,,,no anthers
V20060,Phalaris,arundinacea,1944 Jul 26,,John W. Eastham,,,,anthers
V18842,Deschampsia,elongata,1941 Aug 14,1219 m,John W. Eastham,,,,anthers
V18922,Echinochloa,crus-galli,1939 Aug 15,,John W. Eastham,,,,anthers
V20100,Phleum,alpinum,1945 Jul 15,,John W. Eastham,,,,anthers
V19049,Leymus,innovatus,1941 Jul 17,,John W. Eastham,,,,anthers
V18846,Deschampsia,elongata,1939 Jul 21,1219 m,John W. Eastham,,,,anthers
V45271,Phalaris,arundinacea,1946 Jul 21,,John W. Eastham,,,,anthers
V19037,Leymus,innovatus,1947 Jul 04,,John W. Eastham,,,,anthers
V19368,Festuca,rubra,1937 Jun 25,,John W. Eastham,,,,anthers
V19374,Festuca,rubra,1939 May 22,,John W. Eastham,,,,no anthers
V136433,Phalaris,arundinacea,1965 Jul 01,,L. Keith Wade,,,,anthers
V121392,Cinna,latifolia,1966 Aug 10,,Lionel Cinq-Mars,,,,anthers
V124068,Elymus,canadensis,1968 Aug 07,,Lionel Cinq-Mars,,,,anthers
V94149,Cinna,latifolia,1960 Sep 03,,Lionel Cinq-Mars,,,,anthers
V126885,Deschampsia,caespitosa,1969 Jul 23,,Lionel Cinq-Mars,,,,no anthers
V115953,Cinna,latifolia,1963 Jul 30,,Lionel Cinq-Mars,,,,anthers
V115996,Deschampsia,caespitosa,1963 Jul 24,,Lionel Cinq-Mars,,,,no anthers
V143126,Deschampsia,caespitosa,1972 Jul 23,,Lionel Cinq-Mars,,,,no anthers
V60540,Glyceria,striata,1955 Jun 13,,L. Jenkins,,,,anthers
V60539,Glyceria,striata,1954 Jun 19,,L. Jenkins,,,,anthers
