accession,genus,species,date,elevation,collector,latitude,longitude,,
V222713,Hordeum,brachyantherum,2003 Jul 09,1 m/3 ft,Marianne Spahr,46.43,-123.8946,Verbatim from Collector/Sheet,no anthers
V228314,Ammophila,breviligulata,2002 Aug 24,12 m,Jeffery M. Saarela,46.47,-62.0662,Verbatim from Collector/Sheet,anthers
V165196,Glyceria,canadensis,1969 Aug 16,,S.T.B. Losee,46.6,-84.3,Verbatim from Collector/Sheet,no anthers
V17683,Cinna,latifolia,1969 Aug 29,,S.T.B. Losee,46.6,-84.6,Verbatim from Collector/Sheet,no anthers
V224246,Glyceria,canadensis,1969 Aug 29,,S.T.B. Losee,46.6,-84.6,Verbatim from Collector/Sheet,no anthers
V36331,Anthoxanthum,odoratum,1969 Jul 19,,S. T. B. Losee,46.6,-84.3,Verbatim from Collector/Sheet,no anthers
V165195,Festuca,rubra,1969 Jul 08,,S.T.B. Losee,46.7,-84.4,Verbatim from Collector/Sheet,anthers
V17471,Elymus,trachycaulus,1935 Aug 12,,Thomas M.C. Taylor,47,-84.8,Verbatim from Collector/Sheet,no anthers
V17470,Elymus,trachycaulus,1935 Jul 12,,Thomas M.C. Taylor,47,-84.8,Verbatim from Collector/Sheet,no anthers
V38601,Glyceria,striata,1935 Aug 27,,Thomas M.C. Taylor,47,-84.8,Verbatim from Collector/Sheet,no anthers
V38599,Glyceria,striata,1905 Aug 27,,Thomas M.C. Taylor,47,-84.8,Verbatim from Collector/Sheet,no anthers
V38598,Glyceria,canadensis,1935 Aug 07,,Thomas M.C. Taylor,47,-84.8,Verbatim from Collector/Sheet,anthers
V38600,Glyceria,striata,1935 Jul 26,,Thomas M.C. Taylor,47,-84.8,Verbatim from Collector/Sheet,anthers
V235717,Deschampsia,caespitosa,1913 Jul 05,,J.K. Henry,47,-119.9,Verbatim from Collector/Sheet,no anthers
V38608,Leymus,mollis,1935 Jul 15,,Thomas M.C. Taylor,47,-84.8,Verbatim from Collector/Sheet,anthers
V136598,Brachyelytrum,aristosum,1971 Jul 11,,C.E. Garton,47.2,-84.6,Verbatim from Collector/Sheet,no anthers
